date | value
2009-01-24 | 1
2011-03-21 | 1
2011-05-21 | 1
2011-06-17 | 1
2011-08-13 | 1
2011-09-18 | 1
2011-12-01 | 1
2012-08-10 | 1
2013-02-05 | 1
2013-03-07 | 1
2013-04-10 | 1
2013-04-16 | 1
2013-10-30 | 1
2014-01-13 | 1
2014-02-21 | 1
2014-10-20 | 1
2015-09-03 | 1
2015-11-10 | 1
2015-12-25 | 1
2016-01-30 | 1
2016-06-11 | 1
2016-10-06 | 1
2017-02-08 | 1
2017-05-31 | 1
2017-09-01 | 1
2017-11-20 | 1
2018-01-07 | 1
2018-03-02 | 1
2018-05-17 | 1
2018-06-25 | 1
2018-10-26 | 1
2019-01-23 | 1
2019-05-30 | 1
2019-08-10 | 1
2019-11-28 | 1
2020-02-26 | 1
2020-09-03 | 1
2020-12-31 | 1
2021-02-23 | 1
2021-05-31 | 1
2021-08-26 | 1
2021-11-08 | 1
2022-02-21 | 1
2022-03-30 | 1
