date | value
2009-01-24 | 1
2011-03-21 | 2
2011-05-21 | 3
2011-06-17 | 4
2011-08-13 | 5
2011-09-18 | 6
2011-12-01 | 7
2012-08-10 | 8
2013-02-05 | 9
2013-03-07 | 10
2013-04-10 | 30
2013-04-16 | 40
2013-10-30 | 50
2014-01-13 | 100
2014-02-21 | 111
2014-10-20 | 245
2015-09-03 | 300
2015-11-10 | 350
2015-12-25 | 501
2016-01-30 | 784
2016-06-11 | 912
2016-10-06 | 1024
2017-02-08 | 1111
2017-05-31 | 1830
2017-09-01 | 2500
2017-11-20 | 3000
2018-01-07 | 4000
2018-03-02 | 5000
2018-05-17 | 6000
2018-06-25 | 7000
2018-10-26 | 8000
2019-01-23 | 9000
2019-05-30 | 10000
2019-08-10 | 10000
2019-11-28 | 10000
2020-02-26 | 10000
2020-09-03 | 10000
2020-12-31 | 10000
2021-02-23 | 10000
2021-05-31 | 10000
2021-08-26 | 10000
2021-11-08 | 10000
2022-02-21 | 10000
2022-03-30 | 10000
